treatyNum,prec1,prec3,prec4,oblig1,oblig2,oblig3,oblig4,oblig5,deleg1,deleg2,deleg3,flexibility,withdrawal
1963,y,2786,y,y,y,n,4,y,n,n,n,n,n
19660,y,810,y,n,n,n,4,n,n,n,n,n,n
19706,n,0,n,n,n,n,3,n,n,n,n,n,n
19738,n,11,n,n,n,n,3,n,n,n,n,n,n
19773,y,1958,y,y,y,n,4,n,y,y,n,n,n
19807,y,442,y,n,n,n,4,n,n,n,n,n,n
20 (a),y,17019,y,y,y,n,4,y,y,y,n,y,n
20 (b),y,6000,y,y,y,n,3,n,n,y,n,y,n
20080,n,28,n,n,n,n,3,n,n,n,n,n,n
20152,n,28,n,n,n,n,3,n,n,n,n,n,n
20199,y,1629,y,y,n,n,4,n,n,n,n,n,n
20313,n,0,n,n,n,n,3,n,n,n,n,n,n
20371,y,1132,y,n,y,n,4,n,y,n,y,n,n
20428,y,1418,y,y,y,n,5,n,n,n,n,n,n
20455,n,3,n,n,n,n,3,n,n,n,n,n,n
20469,n,29,n,n,n,n,3,n,n,n,n,n,n
20482,n,3,n,n,n,n,3,n,n,n,n,n,n
20526,n,27,n,n,n,n,3,n,n,n,n,n,n
20689,y,1370,y,y,y,n,5,n,n,n,n,n,n
20785,y,260,n,n,y,n,3,n,n,n,n,n,n
20788,y,446,n,n,y,n,4,n,n,n,n,n,n
20849,y,1013,y,n,n,n,3,y,y,n,n,n,n
20853,n,47,n,n,n,n,3,n,n,n,n,n,n
20961,y,2860,y,y,y,n,4,n,n,y,n,n,n
20975,n,21,n,n,n,n,3,n,n,n,n,n,n
21001,y,2317,y,n,y,n,4,y,n,n,n,n,n
21135,y,7749,y,y,y,n,4,n,n,n,n,y,n
21142,y,1021,y,n,n,n,4,n,y,n,n,n,n
21172,y,500,n,n,y,n,2,n,y,n,n,n,n
2123,n,0,n,n,n,n,3,n,n,n,n,n,n
2124,y,6692,y,n,y,n,4,y,y,n,n,y,n
2125,y,1355,n,n,y,n,4,y,n,n,n,y,n
21264,y,3466,y,y,y,n,4,n,y,n,n,y,n
21312,y,721,n,n,n,n,4,n,n,n,n,n,n
21354,n,28,n,n,n,n,3,n,n,n,n,n,n
21384,n,3,n,n,n,n,3,n,n,n,n,n,n
21562,n,2,n,n,n,n,3,n,n,n,n,n,n
2160,n,83,n,n,n,n,5,n,n,n,n,n,n
21611,n,38,n,n,n,n,3,n,n,n,n,n,n
2163,n,0,n,n,n,n,3,n,n,n,n,n,n
21680,n,0,n,n,n,n,3,n,n,n,n,n,n
21719,y,341,n,n,n,n,4,n,n,n,n,n,n
21749,y,854,n,y,y,n,4,n,n,n,n,n,n
21933,y,568,y,n,n,n,4,n,n,n,n,n,n
21943,y,361,n,n,n,n,2,n,n,n,n,n,n
21978,y,1698,y,y,n,n,4,y,n,y,n,n,n
21986,y,302,n,n,n,n,4,n,n,n,n,n,n
22008,y,301,n,n,n,n,3,n,n,n,n,n,n
22139,n,12,n,n,n,n,3,n,n,n,n,n,n
22215,n,2,n,n,n,n,3,n,n,n,n,n,n
22300,y,1476,y,y,y,n,4,n,n,y,n,n,n
22376,y,12812,y,y,y,y,4,y,y,n,n,y,n
22377,y,628,n,n,n,n,3,n,n,n,n,n,n
22380,y,13697,y,y,y,y,4,y,y,n,n,y,n
22489,y,533,y,n,n,n,4,n,n,n,n,n,n
22556,n,2,n,n,n,n,3,n,n,n,n,n,n
22631,n,0,n,n,n,n,3,n,n,n,n,n,n
22672,y,6643,y,y,y,n,4,y,y,n,y,y,n
22719,n,3,n,n,n,n,3,n,n,n,n,n,n
