,treatyNum,prec1,prec3,prec4,oblig1,oblig2,oblig3,oblig4,oblig5,deleg1,deleg2,deleg3,flexibility,withdrawal
325,31223,Y,9,N,Y?,Y,N,4.0,Y,N,N,N,Y,Y
326,31243,Y,1,N,N,N,N,2.0,N,N,N,N,N,N
327,31256,Y,9,Y,Y,Y,N,4.0,N,Y,Y,N,Y,Y
328,31376,N,1,N,N,N,N,,N,N,N,N,N,N
329,31395,N,1,N,N,N,N,,N,N,N,N,N,N
330,31419,Y,3,Y,N,N,N,3.0,N,N,N,N,Y,N
332,31780,N,1,N,N,N,N,,N,N,N,N,N,N
333,31799,N,1,N,N,N,N,,N,N,N,N,N,N
334,31818,N,1,N,N,N,N,,N,N,N,N,N,N
335,31861,Y,10,N,N,N,N,4.0,Y,N,N,N,Y,N
336,32005,Y,?,Y,Y,Y,Y,4.0,Y,Y,Y,Y,Y,N
381,32022,Y,42,Y,Y,Y,N,4.0,N,Y,Y,Y,Y,Y
787,3229,Y,2,N,N,N,N,1.0,N,N,N,N,N,Y
337,32462,N,1,N,N,N,N,,N,N,N,N,N,N
338,32549,Y,3,N,N,Y,N,3.0,N,N,Y,N,N,Y
339,32670,Y,7,N,N,N,N,3.0,N,N,Y,N,N,Y
383,32888,N,1,N,N,N,N,2.0,N,N,N,N,N,N
340,32922,N,1,N,N,N,N,,N,N,N,N,N,N
341,32930,N,1,N,N,N,N,,N,N,N,N,N,N
342,32990,N,1,N,N,N,N,,N,N,N,N,N,N
50,33000,n,1,n,n,n,n,,n,n,n,n,n,n
51,33364,n,2,n,n,n,n,4.0,y,n,y,n,n,y
52,33400,n,1,n,n,n,n,,n,n,n,n,n,n
53,33405,y,7,n,y,n,n,4.0,n,y,n,n,n,y
54,33529,n,1,n,n,n,n,,n,n,n,n,n,n
788,3364,Y,14,Y,Y,N,N,4.0,Y,N,N,N,Y,Y
772,345,Y,4,N,Y,N,N,3.0,N,Y,Y,N,N,Y
55,34579,y,43,y,y,y,y,4.0,y,y,y,y,n,y
116,3459,,,,,,,,,,,,,
117,3500,y,9,n,n,y,n,5.0,y,y,y,y,n,y
789,3501,Y,15,N,N,N,N,4.0,Y,N,N,N,N,Y
118,3663,y,28,y,y,n,n,4.0,y,y,n,y,y,y
790,3738,Y,4,N,N,N,N,2.0,N,Y,N,N,N,N
909,38415,Y,1,,,,,1.0,,,,,,Y
911,38544,Y,63,N,N,N,N,4.0,N,Y,Y,N,N,N
56,39427,,,,,,,,,,,,,
119,3988,y,22,y,y,y,y,3.0,y,y,y,y,n,y
120,3992,y,18,y,y,n,y,3.0,y,y,n,n,y,y
910,39989,Y,7,N,Y,N,N,2.0,N,Y,Y,Y,N,Y
912,40153,Y,19,Y,N,N,N,3.0,Y,Y,N,Y,Y,Y
57,40324,y,86,y,y,y,y,4.0,y,y,y,y,n,n
791,4034,Y,11,N,N,Y,N,3.0,N,N,N,N,N,N
58,41032,y,25,y,y,y,y,4.0,y,y,y,y,n,y
59,41650,y,21,y,y,y,y,4.0,n,y,y,y,n,y
913,41652,Y,17,Y,Y,Y,Y,3.0,N,N,Y,N,N,Y
121,4214,y,54,y,y,y,y,4.0,n,y,y,y,n,y
60,43185,n,1,n,n,n,n,,n,n,n,n,n,n
62,43452,y,4,y,n,y,n,3.0,n,n,n,n,n,n
63,44848,y,5,n,y,n,n,4.0,n,n,y,n,n,y
736,449,Y,14,Y,Y,N,N,4.0,N,Y,Y,N,Y,Y
122,4493,y,28,n,y,y,y,4.0,y,y,y,y,n,y
64,44960,n,2,y,n,n,n,4.0,n,n,n,n,n,n
65,44961,n,2,y,n,n,n,4.0,n,y?,n,n,n,n
66,45080,y,3,n,n,y,n,3.0,n,n,n,n,n,y
67,45106,y,12,y,y,n,n,4.0,n,y,y,n,n,y
68,45186,,,,,,,,,,,,,
69,45218,,,,,,,,,,,,,
70,45235,n,2,y,n,n,n,2.0,n,n,n,n,n,y
71,45360,,,,,,,,,,,,,
72,45733,n,2,n,n,n,n,5.0,n,n,n,n,n,y
73,45809,,,,,,,,,,,,,
123,4648,n,4,n,n,y,n,3.0,n,y,n,y,n,y
74,46773,y,5,y,n,n,n,4.0,y,n,n,n,n,y
75,46816,n,3,n,n,n,n,4.0,y,n,n,n,n,y
76,46862,,,,,,,,,,,,,
77,46875,,,,,,,,,,,,,
78,46888,n,3,n,n,n,n,5.0,y,n,n,n,n,
79,46903,y,4,n,n,n,n,4.0,y,n,n,n,n,y
410,46969,Y,,,,,,,,,,,,
409,46982,N,1,N,N,N,N,,N,N,N,N,N,N
408,47003,Y,6,Y,Y,Y,N,4.0,N,N,Y,N,N,Y
124,4704,n,7,n,n,y,n,4.0,n,y,n,y,y,y
407,47047,Y,22,N,N,Y,N,3.0,Y,N,Y,N,Y,Y
406,47118,Y,4,N,N,N,N,2.0,N,N,N,N,Y,N
405,47119,N,1,N,N,N,N,,N,N,N,N,N,N
125,4714,y,10,y,y,y,n,4.0,y,y,n,y,y,y
404,47290,Y,7,N,N,N,N,4.0,Y,N,N,N,Y,Y
126,4739,n,6,n,n,y,y,3.0,y,y,n,y,y,y
403,47421,Y,3,N,N,N,N,4.0,N,N,N,N,Y,Y
127,4743,n,8,y,n,y,n,4.0,n,y,y,n,n,y
402,47646,N,1,N,N,N,N,,N,N,N,N,N,N
401,47647,N,1,N,N,N,N,,N,N,N,N,N,N
914,47662,Y,21,Y,Y,Y,Y,4.0,N,Y,Y,N,N,Y
400,47709,Y,16,N,N,N,N,4.0,Y,Y,N,N,Y,Y
915,47742,Y,8,N,N,N,Y,2.0,N,N,Y,N,N,Y
399,47778,N,1,N,N,N,N,,N,N,N,N,N,N
398,47784,Y,3,N,N,N,N,5.0,N,N,N,N,N,N
397,47799,N,1,N,N,N,N,,N,N,N,N,N,N
396,47802,N,1,N,N,N,N,,N,N,N,N,N,N
395,47946,Y,8,Y,N,Y,N,2.0,Y,Y,Y,Y,N,Y
394,47955,Y,16,Y,N,Y,N,4.0,N,N,Y,N,Y,Y
393,48008,Y,4,N,N,N,N,3.0,N,N,N,N,Y,Y
392,48023,N,1,N,N,N,N,,N,N,N,N,N,N
391,48025,N,1,N,N,N,N,,N,N,N,N,N,N
390,48051,Y,5,N,N,Y,N,4.0,N,N,Y,N,N,Y
792,4813,,,,,,,,,,,,,
128,4816,n,2,n,n,n,n,5.0,y,y,n,n,n,y
389,48207,Y,115,N,Y,Y,Y,4.0,Y,Y,Y,Y,Y,Y
388,48341,N,1,N,N,N,N,,N,N,N,N,N,N
387,48426,N,1,N,N,N,N,,N,N,N,N,N,N
596,48457,Y,16,Y,Y,Y,N,2.0,N,Y,Y,Y,Y,N
607,48507,N,0,N,N,N,N,,N,N,N,N,N,N
605,48537,Y,6,N,Y,Y,N,2.0,N,N,N,N,N,Y
856,48793,Y,2,N,N,N,N,2.0,N,N,N,N,Y,Y
861,48906,Y,12,Y,Y,Y,Y,4.0,N,Y,Y,N,N,Y
860,49011,Y,11,Y,Y,N,Y,4.0,N,Y,N,N,N,Y
857,49036,N,,N,N,N,N,,N,N,N,N,N,N
858,49131,N,,N,N,N,N,,N,N,N,N,N,N
859,49178,Y,5,N,N,Y,N,2.0,N,Y,Y,Y,N,N
862,49183,Y,3,N,N,N,N,2.0,N,N,Y,N,N,Y
916,49197,Y,27,Y,N,Y,Y,3.0,N,Y,Y,N,Y,Y
863,49208,N,,N,N,N,N,,N,N,N,N,N,N
864,49222,N,,N,N,N,N,,N,N,N,N,N,N
865,49302,N,,N,N,N,N,,N,N,N,N,N,N
871,49359,Y,11,N,N,N,N,3.0,N,Y,N,N,Y,N
866,49387,N,,N,N,N,N,,N,N,N,N,N,N
870,49428,Y,9,N,N,Y,N,3.0,N,N,N,N,N,Y
867,49482,N,,N,N,N,N,,N,N,N,N,N,N
577,49510,Y,3,N,N,N,N,5.0,N,Y,Y,N,N,Y
578,49532,,,,,,,,,,,,,
579,49545,,,,,,,,,,,,,
580,49598,Y,29,Y,Y,Y,N,4.0,N,N,Y,N,Y,Y
581,49613,Y,2,N,N,N,N,5.0,N,N,N,N,Y,Y
582,49654,Y,3,N,N,Y,N,5.0,N,Y,Y,Y,N,Y
583,49666,Y,3,N,N,N,N,5.0,N,N,N,N,N,Y
584,49697,Y,38,N,N,Y,N,4.0,N,N,N,N,Y,Y
585,49871,Y,,,,,,,,,,,,
586,49893,Y,,,,,,,,,,,,
587,50016,Y,114,Y,Y,Y,N,3.0,Y,Y,Y,Y,Y,Y
129,5005,y,26,n,y,y,y,3.0,y,y,n,y,y,y
261,50151,n,1,n,n,n,n,1.0,n,n,n,n,n,n
735,502,,,,,,,,,,,,Y,
262,50274,n,1,n,n,n,n,1.0,n,n,n,n,n,n
263,50279,n,1,n,n,n,n,1.0,n,n,n,n,n,n
264,50333,n,1,n,n,n,n,1.0,n,n,n,n,n,n
592,50403,Y,9,N,N,Y,N,4.0,N,N,N,N,Y,Y
918,50553,Y,43,Y,Y,Y,Y,4.0,N,Y,Y,Y,N,Y
593,50628,Y,2,N,N,N,N,4.0,N,N,N,N,Y,Y
594,50712,Y,4,N,N,N,N,5.0,N,N,N,N,N,Y
595,50725,Y,10,Y,,,,,,,,,,
346,51732,Y,10,N,Y,Y,N,4.0,N,N,Y,N,N,Y
347,51806,Y,35,Y,Y,Y,N,4.0,N,N,Y,N,N,Y
348,51847,Y,10,N,Y,N,N,3.0,N,N,N,N,N,Y
349,51875,Y,3,N,N,Y,N,2.0,N,N,Y,N,N,Y
350,51960,Y,2,N,N,N,N,2.0,N,N,Y,N,N,Y
351,51966,Y,2,N,Y,N,N,2.0,N,N,N,N,N,N
830,5211,Y,30,Y,Y,Y,Y,4.0,N,Y,Y,Y,Y,Y
352,52241,Y,3,N,N,N,N,2.0,N,N,N,N,N,N
353,52251,Y,2,N,N,N,N,2.0,N,N,Y,N,N,Y
354,52345,Y,15,Y,Y,N,Y,3.0,N,Y,Y,N,Y,Y
355,52458,Y,8,N,Y,N,N,3.0,N,N,N,N,N,Y
356,52637,Y,6,N,N,N,N,3.0,Y,N,N,N,N,Y
357,52653,Y,2,N,Y,N,N,2.0,N,N,N,N,N,Y
130,5266,y,24,y,y,y,y,4.0,y,y,y,y,y,y
358,52801,Y,18,N,Y,Y,N,4.0,Y,Y,Y,Y,Y,Y
359,53209,Y,5,N,N,N,N,3.0,N,N,Y,N,N,Y
360,53248,Y,16,Y,Y,Y,N,4.0,N,Y,Y,Y,Y,Y
361,53307,Y,5,N,Y,N,N,2.0,N,N,Y,N,Y,Y
362,53330,Y,11,N,Y,N,N,3.0,N,N,N,N,N,Y
363,53339,Y,1,Y,N,N,N,2.0,N,N,N,N,N,Y
80,53398,n,7,n,n,n,n,4.0,y,n,n,n,n,y
81,53484,,,,,,,,,,,,,
82,53565,y,13,y,n,n,n,4.0,y,n,n,n,n,y
83,53594,y,15,y,y,y,y,4.0,y,y,y,n,n,y
84,53646,,,,,,,,,,,,,
85,53771,n,8,n,y,n,n,4.0,y,y,y,y,n,y
86,54051,,,,,,,,,,,,,
87,54339,y,16,n,n,n,n,5.0,y,n,n,n,n,y
88,54387,,,,,,,,,,,,,
89,54415,,,,,,,,,,,,,
90,54452,,,,,,,,,,,,,
92,54615,n,3,n,n,n,n,4.0,n,n,y,n,n,y
93,54644,n,6,n,n,n,n,2.0,n,n,n,n,n,y
94,54682,y,28,y,y,y,y,4.0,n,y,y,n,y,y
737,55 (a),N,7,N,N,N,N,5.0,N,N,N,N,Y,Y
793,5563,Y,7,N,N,Y,N,3.0,N,Y,N,Y,N,Y
131,5610,y,25,y,n,y,n,3.0,y,y,n,n,n,n
794,5645,Y,6,Y,N,N,N,3.0,N,N,N,N,N,Y
795,5670,Y,7,Y,Y,N,Y,4.0,N,Y,Y,N,N,N
796,5680,Y,5,N,N,Y,N,2.0,N,Y,N,N,N,Y
797,5722,Y,3,N,N,N,N,2.0,N,N,N,N,N,N
846,5792,Y,37,Y,Y,Y,Y,4.0,N,Y,Y,Y,N,Y
798,5820,Y,10,Y,Y,Y,N,4.0,N,N,N,N,Y,Y
731,585,Y,5,N,N,Y,N,3.0,Y,Y,N,Y,N,Y
799,5855,Y,5,Y,Y,N,N,4.0,N,Y,Y,N,N,Y
730,586,Y,6,N,N,Y,N,4.0,N,Y,N,Y,N,Y
726,588,Y,7,N,N,Y,N,4.0,N,Y,N,Y,Y,Y
723,589,N,8,N,N,Y,N,4.0,N,Y,N,Y,Y,Y
721,590,N,4,N,N,Y,N,4.0,N,Y,N,Y,N,Y
720,592,Y,8,N,N,Y,Y,3.0,Y,Y,Y,Y,N,Y
800,5926,Y,8,Y,Y,Y,N,3.0,N,Y,Y,N,Y,Y
725,593,N,5,N,N,Y,N,5.0,N,Y,N,Y,N,Y
132,5949,n,4,n,n,y,n,4.0,n,y,n,n,n,y
724,598,N,6,N,N,Y,N,4.0,N,Y,N,Y,Y,Y
801,5983,Y,4,Y,N,Y,Y,4.0,N,Y,N,Y,N,N
802,6009,Y,7,Y,N,Y,Y,3.0,N,Y,N,N,Y,N
722,601,Y,6,N,N,Y,N,3.0,Y,Y,N,Y,N,Y
715,603,N,6,N,N,Y,N,3.0,N,Y,N,Y,Y,Y
716,604,Y,7,N,N,Y,N,3.0,N,Y,N,Y,N,Y
803,6064,Y,5,N,N,Y,N,2.0,N,Y,N,N,N,Y
714,607,Y,8,N,N,Y,N,4.0,Y,Y,N,Y,Y,Y
713,609,Y,6,N,N,Y,N,3.0,Y,Y,N,Y,N,Y
804,6099,Y,7,N,Y,Y,N,3.0,N,Y,Y,Y,Y,Y
712,614,Y,18,N,N,Y,N,4.0,Y,Y,N,Y,Y,Y
711,615,Y,12,N,N,Y,N,5.0,Y,Y,N,Y,Y,Y
805,6186,Y,2,N,N,N,N,2.0,N,N,N,N,N,Y
710,622,Y,18,N,N,Y,Y,4.0,Y,Y,N,Y,Y,Y
709,623,Y,7,N,N,Y,N,4.0,N,Y,N,Y,Y,Y
708,624,Y,9,N,N,Y,N,2.0,Y,Y,N,Y,N,Y
700,625,N,6,N,N,Y,N,4.0,N,Y,N,Y,N,Y
707,626,Y,12,N,N,Y,Y,4.0,Y,Y,N,Y,Y,Y
706,630,Y,20,N,N,Y,N,4.0,N,Y,N,Y,Y,Y
705,631,N,11,N,N,Y,N,4.0,Y,Y,N,Y,Y,Y
704,634,Y,10,N,Y,Y,N,4.0,Y,Y,N,Y,Y,Y
699,635,N,7,N,N,Y,N,4.0,N,Y,N,Y,N,Y
703,636,Y,11,N,N,Y,N,4.0,Y,Y,N,Y,Y,Y
702,637,Y,16,N,N,Y,N,3.0,Y,Y,N,Y,Y,Y
806,6378,Y,2,N,Y,N,N,2.0,N,Y,N,N,N,N
701,638,Y,16,N,N,Y,N,2.0,N,Y,N,Y,Y,Y
698,639,Y,25,N,N,Y,N,4.0,N,Y,N,Y,Y,Y
697,640,Y,6,N,N,Y,N,3.0,N,Y,N,Y,Y,Y
134,6466,y,2,n,y,n,n,3.0,n,y,n,n,n,n
807,6469,Y,6,N,N,Y,N,3.0,N,Y,Y,Y,N,N
808,6482,Y,4,Y,N,N,Y,3.0,N,Y,N,N,N,Y
135,6543,y,14,n,y,y,y,3.0,y,y,y,n,y,y
136,6555,y,20,n,y,y,y,4.0,y,y,n,n,y,y
809,6556,Y,2,N,N,N,N,1.0,N,N,N,N,N,Y
810,6644,Y,4,N,N,Y,N,3.0,N,Y,N,N,N,Y
811,6680,Y,4,N,N,Y,N,2.0,N,Y,N,N,N,Y
771,67,Y,23,Y,N,N,N,4.0,N,N,Y,N,N,N
812,6727,Y,7,N,Y,Y,Y,3.0,N,Y,Y,Y,Y,Y
813,6733,Y,5,Y,Y,N,Y,2.0,N,Y,Y,Y,Y,Y
814,6762,Y,7,Y,N,Y,Y,3.0,N,Y,N,N,Y,Y
496,6813,Y,3,N,N,N,N,1.0,N,N,N,N,Y,Y
497,6857,Y,4,N,N,Y,N,3.0,Y,N,N,N,Y,Y
498,6858,Y,6,N,N,Y,N,3.0,N,N,N,N,Y,N
137,6862,y,9,y,y,y,y,4.0,y,n,n,n,n,y
499,6934,Y,29,N,Y,N,N,3.0,N,Y,N,N,Y,Y
773,698,Y,4,N,Y,N,N,3.0,Y,Y,Y,N,N,N
500,6998,Y,14,N,N,Y,Y,4.0,N,Y,N,N,Y,N
501,7017,Y,3,N,N,N,N,5.0,N,N,N,N,N,N
696,709,Y,5,Y,N,N,N,2.0,N,Y,N,N,N,N
695,710,Y,11,N,Y,N,N,3.0,Y,Y,N,N,N,Y
502,7132,Y,3,Y,N,Y,N,5.0,N,N,N,N,N,N
692,714,Y,7,N,N,N,N,3.0,N,Y,Y,N,N,Y
503,7173,Y,3,N,N,N,N,5.0,N,N,N,N,N,Y
504,7190,Y,13,N,N,Y,Y,4.0,N,Y,N,N,Y,Y
774,720,Y,4,N,N,N,N,3.0,N,Y,N,N,N,Y
505,7215,Y,5,Y,N,N,N,3.0,N,N,N,N,N,Y
138,7238,y,9,n,n,n,n,4.0,y,y,n,n,n,y
507,7264,Y,4,Y,Y,Y,Y,5.0,N,Y,Y,N,Y,Y
508,7288,Y,3,N,N,N,N,5.0,N,N,N,N,N,Y
509,7295,Y,9,Y,Y,Y,Y,4.0,N,Y,Y,N,Y,Y
510,7298,Y,1,N,N,N,N,5.0,Y,N,N,N,N,N
139,7302,y,5,n,n,n,n,3.0,y,n,n,n,y,n
511,7363,Y,14,N,N,Y,Y,5.0,Y,Y,N,N,Y,N
140,7384,y,6,n,y,n,n,3.0,y,y,n,n,y,y
141,7401,,,,,,,,,,,,,
142,7411,n,7,n,n,n,n,3.0,y,n,n,n,y,y
512,7473,Y,13,N,N,Y,Y,5.0,Y,Y,N,N,Y,N
143,7477,y,10,y,n,n,n,4.0,y,y,n,n,n,n
144,7659,y,18,y,n,y,n,3.0,y,y,y,n,y,y
514,7690,Y,2,N,N,N,N,5.0,N,N,N,N,Y,Y
515,7764,Y,10,N,N,Y,Y,5.0,Y,Y,N,N,Y,N
516,7787,Y,7,N,N,Y,Y,5.0,N,N,N,N,Y,N
517,7813,Y,7,Y,N,Y,Y,5.0,N,N,N,N,Y,Y
145,7825,n,9,n,n,n,n,4.0,y,y,y,n,n,y
518,7838,Y,2,N,N,N,N,5.0,N,N,N,N,N,Y
519,7892,Y,6,N,N,Y,N,5.0,N,N,N,N,Y,N
520,7907,Y,9,N,N,Y,Y,5.0,Y,N,N,N,Y,Y
521,7962,Y,6,N,N,Y,N,4.0,Y,Y,N,N,Y,Y
522,7986,Y,9,N,N,Y,N,5.0,N,N,N,N,Y,N
523,7987,Y,2,N,Y,N,N,5.0,N,Y,N,N,Y,N
146,8008,y,5,n,n,n,n,4.0,y,n,n,n,y,y
693,814,Y,72,Y,Y,Y,Y,4.0,Y,Y,N,Y,Y,Y
524,8161,Y,6,Y,N,Y,Y,5.0,N,N,N,N,Y,Y
147,8164,y,8,n,y,y,n,4.0,y,y,y,n,y,n
525,8190,Y,6,N,Y,N,N,5.0,N,Y,Y,N,Y,Y
526,8265,Y,14,N,N,Y,Y,4.0,Y,Y,N,N,Y,N
527,8394,Y,7,N,N,Y,N,5.0,N,N,N,N,Y,N
528,8405,Y,6,N,N,Y,N,5.0,N,N,N,N,Y,N
529,8460,Y,12,N,N,Y,Y,5.0,Y,Y,N,N,Y,N
531,8572,Y,7,N,Y,Y,N,4.0,N,Y,N,N,Y,Y
532,8580,Y,9,Y,Y,Y,Y,5.0,N,Y,Y,N,Y,Y
148,8640,y,3,n,y,n,n,3.0,n,y,n,n,n,n
149,8644,y,5,n,n,y,y,4.0,n,n,n,n,y,y
533,8687,Y,10,N,Y,Y,Y,4.0,N,Y,Y,N,Y,Y
534,8755,Y,7,N,N,N,N,5.0,N,N,N,N,Y,Y
150,8768,n,8,n,n,y,n,4.0,t,y,n,n,y,y
151,8769,n,4,n,n,n,n,4.0,n,n,n,n,n,y
535,8790,Y,4,N,N,N,N,5.0,N,N,N,N,N,Y
152,8836,n,8,n,n,n,n,4.0,y,n,n,n,n,y
153,8844,n,15,y,y,n,n,4.0,n,y,y,n,n,y
536,8851,Y,21,Y,Y,Y,N,5.0,N,Y,N,N,Y,N
154,8904,y,76,y,y,y,y,3.0,y,y,y,y,n,y
537,8955,Y,3,N,N,N,N,4.0,N,Y,N,N,Y,Y
690,898,Y,14,N,N,Y,N,2.0,Y,Y,N,N,Y,Y
538,9033,Y,4,N,N,N,N,2.0,N,N,N,N,Y,Y
689,904,Y,15,Y,N,Y,N,3.0,Y,Y,N,Y,N,Y
878,9065,Y,7,Y,N,N,N,2.0,N,N,N,N,Y,Y
879,9067,Y,9,N,N,N,N,3.0,Y,N,N,N,Y,Y
539,9070,Y,2,Y,Y,N,N,5.0,N,Y,N,N,Y,Y
880,9221,Y,6,Y,N,N,N,2.0,N,Y,Y,N,N,Y
181,9250,y,5,n,y,y,n,5.0,n,y,y,n,y,n
182,9258,y,5,n,y,y,y,3.0,n,y,n,y,n,n
881,9281,Y,29,Y,Y,Y,N,4.0,N,Y,Y,N,Y,Y
183,9295,n,1,n,n,n,n,5.0,n,n,n,n,n,n
184,9321,y,7,n,y,n,n,4.0,n,IO,n,n,n,n
882,9344,Y,6,N,N,N,N,2.0,N,Y,N,N,N,Y
883,9369,Y,51,Y,Y,Y,Y,4.0,N,Y,Y,Y,Y,Y
185,9391,y,3,n,n,n,n,5.0,n,n,n,n,n,n
186,9397,y,18,n,y,y,y,5.0,y,n,n,n,n,n
187,9481,y,5,n,y,y,y,4.0,y,n,n,n,n,y
775,955,Y,12,N,N,Y,N,4.0,N,N,N,N,N,Y
188,9584,y,2,n,n,n,y,3.0,n,y,n,n,n,n
884,9587,Y,13,N,N,Y,Y,3.0,Y,Y,Y,N,Y,Y
189,9675,y,5,n,n,n,n,3.0,n,n,n,n,n,n
190,9676,y,7,n,y,y,n,5.0,n,y,n,y,n,n
191,9740,y,6,n,n,n,n,3.0,n,IO,n,y,n,y
192,9755,y,2,n,n,n,n,2.0,n,y,n,y,n,y
193,9821,y,1,n,n,n,y,5.0,n,n,n,n,n,y
194,9958,y,7,y,y,y,y,4.0,y,y,n,y,n,y
920,EEC,Y,80,N,Y,Y,Y,4.0,N,N,Y,N,Y,N
921,ILO,Y,20,Y,Y,Y,Y,4.0,N,Y,Y,Y,N,Y
919,LoN,Y,12,Y,Y,Y,Y,3.0,N,Y,Y,Y,N,Y
